Date,Cases
Jan-30,1
Feb-02,2
Feb-03,3
Mar-02,5
Mar-03,6
Mar-04,28
Mar-05,30
Mar-06,31
Mar-07,34
Mar-08,39
Mar-09,44
Mar-10,50
Mar-11,60
Mar-12,73
Mar-13,81
Mar-14,97
Mar-15,107
Mar-16,118
Mar-17,137
Mar-18,151
Mar-19,173
Mar-20,223
Mar-21,283
Mar-22,360
Mar-23,434
Mar-24,519
Mar-25,606
Mar-26,694
Mar-27,834
Mar-28,918
Mar-29,1024
Mar-30,1251
Mar-31,1397
Apr-01,1834
Apr-02,2069
Apr-03,2547
